"disease","frequency","rate"
"dis_1",157,0.412073490813648
"dis_2",262,0.687664041994751
"dis_3",41,0.10761154855643
"dis_4",83,0.217847769028871
"dis_5",91,0.238845144356955
"dis_6",106,0.278215223097113
"dis_7",84,0.220472440944882
"dis_8",36,0.094488188976378
"dis_9",18,0.047244094488189
"dis_10",381,1
"dis_11",12,0.031496062992126
"dis_12",11,0.0288713910761155
"dis_13",2,0.005249343832021
"dis_14",0,0
"dis_15",13,0.0341207349081365
"dis_16",9,0.0236220472440945
"dis_17",1,0.0026246719160105
"dis_18",0,0
