"Variable","Estimate","Std.Error","t.value","P.value","P.signif","CI_lower","CI_upper"
"dis_1",2.69213489535941,0.408872230339826,6.58429381012718,1.52697654781757e-10,"***",1.89074532389335,3.49352446682547
"dis_2",2.01305407659247,0.446596864577254,4.50754189351063,8.75234856648851e-06,"***",1.13772422202105,2.88838393116389
"dis_3",2.71614060258251,0.67121752092767,4.04658775716792,6.3010798564083e-05,"***",1.40055426156428,4.03172694360074
"dis_4",2.56432441174092,0.497533184884707,5.15407713424212,4.11161661075804e-07,"***",1.5891593693669,3.53948945411495
"dis_5",1.53330807123911,0.492000211990586,3.11647847677848,0.00196980784223937,"**",0.56898765573756,2.49762848674066
"dis_6",1.37531853540772,0.323805399685774,4.24736133721782,2.72481890564139e-05,"***",0.740659952023603,2.00997711879184
"dis_7",0.949735449735452,0.510134725615077,1.86173456157164,0.0634143597324945,".",-0.0501286124700988,1.949599511941
"dis_8",0.300483091787443,0.726140588578747,0.413808422933044,0.67924847963859,"",-1.1227524618269,1.72371864540179
"dis_9",1.16023875114785,0.999584435215336,1.1607211059643,0.246485916613965,"",-0.79894674187421,3.11942424416991
"dis_11",1.66056910569107,0.602188083000515,2.75755889657758,0.00610534812476545,"**",0.480280463010058,2.84085774837208
"dis_12",1.35184275184275,0.630572394409961,2.1438343381773,0.0326819185664337,"*",0.11592085879923,2.58776464488628
"dis_13",0.10883905013193,1.46998146702341,0.0740411036285513,0.941016740937039,"",-2.77232462523395,2.99000272549781
"dis_15",-0.266199832775918,0.584972435506808,-0.455063891250342,0.649323837143932,"",-1.41274580636926,0.880346140817426
"dis_16",0.434289127837512,0.465766304363458,0.932418519263723,0.351713877281533,"",-0.478612828714865,1.34719108438989
"dis_17",-0.047368421052635,0.69204425200791,-0.0684470984553363,0.945465827001609,"",-1.40377515498814,1.30903831288287
